Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-02-01","2,614","13,382","5.87","0","1,223","70","75","72","1,173"
"2014-02-02","2,490","10,368","4.83","0","1,246","87","53","54","1,008"
"2014-02-03","3,098","21,013","9.33","0","1,157","58","84","141","1,727"
"2014-02-04","2,484","10,230","4.56","0","694","130","74","40","1,085"
"2014-02-05","3,314","23,060","10.41","0","1,087","112","92","149","2,026"
"2014-02-06","2,817","14,377","6.51","0","1,130","141","109","60","1,451"
"2014-02-07","3,109","19,208","8.47","0","1,060","158","133","89","1,842"
"2014-02-08","2,357","7,858","3.49","0","1,219","123","77","21","903"
"2014-02-09","2,140","5,386","2.39","0","1,308","68","42","22","582"
"2014-02-10","3,080","19,733","8.87","0","1,130","99","104","107","1,727"
"2014-02-11","2,340","8,815","3.97","0","1,262","80","56","42","865"
"2014-02-12","2,117","5,777","2.61","0","1,315","65","29","31","588"
"2014-02-13","2,802","13,785","6.2","0","1,117","166","92","65","1,459"
"2014-02-14","2,868","14,991","6.67","0","1,127","152","87","74","1,495"
"2014-02-15","2,869","15,798","6.97","0","1,124","133","106","77","1,530"
"2014-02-16","2,430","3,363","1.48","0","1,367","37","22","14","338"
"2014-02-17","2,592","11,017","4.83","0","1,168","158","63","51","1,192"
"2014-02-18","2,418","9,435","4.21","0","1,254","83","53","50","919"
"2014-02-19","2,378","9,280","4.2","0","1,270","78","35","57","886"
"2014-02-20","3,069","7","0","0","1,439","1","0","0","3"
"2014-02-21","1,965","4,602","2.02","0","1,374","24","13","29","392"
"2014-02-22","2,430","8,232","3.61","0","1,148","166","120","6","1,067"
"2014-02-23","2,430","1,035","0.45","0","1,371","59","10","0","216"
"2014-02-24","2,056","3,796","1.67","0","1,297","93","44","6","520"
"2014-02-25","2,523","9,862","4.51","0","1,178","143","84","35","1,119"
"2014-02-26","2,314","7,964","3.63","0","1,279","71","51","39","788"
"2014-02-27","2,647","12,300","5.42","0","1,167","138","77","58","1,249"
"2014-02-28","2,437","9,754","4.31","0","1,234","99","61","46","968"